Post Code,Distance to CBD (km),Time to CBD
4101,5.2 km,11 mins
4101,5.2 km,11 mins
4101,5.2 km,11 mins
4101,5.2 km,11 mins
4101,5.2 km,11 mins
4102,3.6 km,8 mins
4102,3.6 km,8 mins
4102,3.6 km,8 mins
4102,3.6 km,8 mins
4103,6.1 km,11 mins
4103,6.1 km,11 mins
4103,6.1 km,11 mins
4103,6.1 km,11 mins
4103,6.1 km,11 mins
4104,8.2 km,14 mins
4104,8.2 km,14 mins
4105,8.9 km,15 mins
4105,8.9 km,15 mins
4105,8.9 km,15 mins
4105,8.9 km,15 mins
4105,8.9 km,15 mins
4106,13.8 km,20 mins
4106,13.8 km,20 mins
4106,13.8 km,20 mins
4107,12.1 km,14 mins
4107,12.1 km,14 mins
4108,15.7 km,21 mins
4108,undefined,undefined
4108,15.7 km,21 mins
4109,14.4 km,17 mins
4109,14.4 km,17 mins
4109,14.4 km,17 mins
4109,14.4 km,17 mins
4109,14.4 km,17 mins
4109,14.4 km,17 mins
4109,14.4 km,17 mins
4110,21.1 km,27 mins
4110,21.1 km,27 mins
4110,21.1 km,27 mins
4110,21.1 km,27 mins
4110,undefined,undefined
4110,21.1 km,27 mins
4110,21.1 km,27 mins
4110,21.1 km,27 mins
4111,12.5 km,15 mins
4111,12.5 km,15 mins
4112,19.0 km,22 mins
4113,17.1 km,19 mins
4113,17.1 km,19 mins
4113,17.1 km,19 mins
4114,28.6 km,26 mins
4114,28.6 km,26 mins
4114,28.6 km,26 mins
4114,28.6 km,26 mins
4114,28.6 km,26 mins
4114,28.6 km,26 mins
4114,28.6 km,26 mins
4115,30.5 km,26 mins
4115,30.5 km,26 mins
4116,21.1 km,27 mins
4116,21.1 km,27 mins
4116,21.1 km,27 mins
4117,28.1 km,27 mins
4117,28.1 km,27 mins
4118,30.3 km,29 mins
4118,30.3 km,29 mins
4118,30.3 km,29 mins
4118,30.3 km,29 mins
4118,30.3 km,29 mins
4118,30.3 km,29 mins
4118,30.3 km,29 mins
4119,20.5 km,19 mins
4120,5.4 km,8 mins
4120,5.4 km,8 mins
4120,5.4 km,8 mins
4121,7.7 km,8 mins
4121,7.7 km,8 mins
4121,7.7 km,8 mins
4121,7.7 km,8 mins
4121,7.7 km,8 mins
4121,7.7 km,8 mins
4121,7.7 km,8 mins
4122,13.8 km,16 mins
4122,13.8 km,16 mins
4122,13.8 km,16 mins
4122,13.8 km,16 mins
4122,13.8 km,16 mins
4122,13.8 km,16 mins
4122,13.8 km,16 mins
4122,13.8 km,16 mins
4123,17.4 km,20 mins
4123,17.4 km,20 mins
4123,17.4 km,20 mins
4124,40.6 km,38 mins
4124,40.6 km,38 mins
4124,40.6 km,38 mins
4124,40.6 km,38 mins
4124,40.6 km,38 mins
4125,37.4 km,33 mins
4125,37.4 km,33 mins
4125,37.4 km,33 mins
4127,24.2 km,20 mins
4127,24.2 km,20 mins
4127,24.2 km,20 mins
4127,24.2 km,20 mins
4127,24.2 km,20 mins
4127,24.2 km,20 mins
4128,27.5 km,23 mins
4128,27.5 km,23 mins
4128,27.5 km,23 mins
4128,27.5 km,23 mins
4129,29.7 km,23 mins
4129,29.7 km,23 mins
4129,29.7 km,23 mins
4129,29.7 km,23 mins
4130,36.4 km,31 mins
4130,36.4 km,31 mins
4131,27.7 km,24 mins
4131,27.7 km,24 mins
4132,31.3 km,30 mins
4132,31.3 km,30 mins
4132,31.3 km,30 mins
4132,31.3 km,30 mins
4133,35.4 km,34 mins
4133,35.4 km,34 mins
4133,35.4 km,34 mins
4133,35.4 km,34 mins
4151,6.8 km,11 mins
4151,6.8 km,11 mins
4151,6.8 km,11 mins
4152,10.8 km,17 mins
4152,10.8 km,17 mins
4152,10.8 km,17 mins
4152,10.8 km,17 mins
4152,10.8 km,17 mins
4152,10.8 km,17 mins
4153,16.2 km,25 mins
4153,16.2 km,25 mins
4154,16.5 km,26 mins
4154,16.5 km,26 mins
4154,16.5 km,26 mins
