Post Code,Name,State,Suburb Unique ID,Closest City,Distance to CBD (km),Time to CBD,Distance (number),Hip,Family,Affluence,Lifestyle,Convenience,Tranquility,Communication,Community,Listings Houses Latest Month,Listings Houses 12M Prior
4013,Northgate Mc,Qld,4013Northgate Mc,Brisbane,14.6 km,18 mins,15,,,,,,,,,14,32
4014,Banyo,Qld,4014Banyo,Brisbane,18.3 km,24 mins,18,7,8,6,8,9,9,9,9,56,94
4014,Nudgee,Qld,4014Nudgee,Brisbane,18.3 km,24 mins,18,7,8,7,8,9,9,9,9,56,94
4014,Nudgee Beach,Qld,4014Nudgee Beach,Brisbane,18.3 km,24 mins,18,6,8,6,8,8,9,6,9,56,94
4014,Virginia,Qld,4014Virginia,Brisbane,18.3 km,24 mins,18,7,9,7,9,9,9,9,9,56,94
4014,Virginia Bc,Qld,4014Virginia Bc,Brisbane,18.3 km,24 mins,18,,,,,,,,,56,94
4014,Virginia Dc,Qld,4014Virginia Dc,Brisbane,18.3 km,24 mins,18,,,,,,,,,56,94
4017,Bracken Ridge,Qld,4017Bracken Ridge,Brisbane,30.2 km,30 mins,30,7,8,7,8,8,9,9,10,164,231
4017,Brighton,Qld,4017Brighton,Brisbane,30.2 km,30 mins,30,7,9,6,8,8,9,9,10,164,231
4017,Brighton Eventide,Qld,4017Brighton Eventide,Brisbane,30.2 km,30 mins,30,7,9,6,8,8,9,9,10,164,231
4017,Brighton Nathan Street,Qld,4017Brighton Nathan Street,Brisbane,30.2 km,30 mins,30,,,,,,,,,164,231
4017,Deagon,Qld,4017Deagon,Brisbane,30.2 km,30 mins,30,7,9,5,8,8,9,9,10,164,231
4017,Nashville,Qld,4017Nashville,Brisbane,30.2 km,30 mins,30,,,,,,,,,164,231
4017,Sandgate,Qld,4017Sandgate,Brisbane,30.2 km,30 mins,30,7,9,8,9,8,9,9,10,164,231
4017,Sandgate Dc,Qld,4017Sandgate Dc,Brisbane,30.2 km,30 mins,30,,,,,,,,,164,231
4017,Shorncliffe,Qld,4017Shorncliffe,Brisbane,30.2 km,30 mins,30,7,10,9,9,8,9,9,10,164,231
4018,Fitzgibbon,Qld,4018Fitzgibbon,Brisbane,19.2 km,26 mins,19,7,8,7,8,9,9,9,9,51,57
4018,Taigum,Qld,4018Taigum,Brisbane,19.2 km,26 mins,19,7,8,6,8,9,9,9,9,51,57
4019,Clontarf,Qld,4019Clontarf,Brisbane,37.9 km,35 mins,38,7,8,3,8,8,9,9,9,117,161
4019,Clontarf Beach,Qld,4019Clontarf Beach,Brisbane,37.9 km,35 mins,38,,,,,,,,,117,161
4019,Clontarf Dc,Qld,4019Clontarf Dc,Brisbane,37.9 km,35 mins,38,7,,2,8,7,8,9,8,117,161
4019,Humpybong,Qld,4019Humpybong,Brisbane,37.9 km,35 mins,38,,,,,,,,,117,161
4019,Margate,Qld,4019Margate,Brisbane,37.9 km,35 mins,38,7,8,3,8,9,9,9,10,117,161
4019,Margate Beach,Qld,4019Margate Beach,Brisbane,37.9 km,35 mins,38,7,8,3,8,9,9,9,10,117,161
4019,Scotts Point,Qld,4019Scotts Point,Brisbane,37.9 km,35 mins,38,,,,,,,,,117,161
4019,Woody Point,Qld,4019Woody Point,Brisbane,37.9 km,35 mins,38,8,8,4,9,9,9,9,10,117,161
4020,Newport,Qld,4020Newport,Brisbane,42.0 km,42 mins,42,7,8,8,8,8,9,9,10,151,363
4020,Redcliffe,Qld,4020Redcliffe,Brisbane,42.0 km,42 mins,42,7,8,3,9,9,9,9,9,151,363
4020,Redcliffe North,Qld,4020Redcliffe North,Brisbane,42.0 km,42 mins,42,7,8,3,9,9,9,9,9,151,363
4020,Scarborough,Qld,4020Scarborough,Brisbane,42.0 km,42 mins,42,8,8,6,9,8,9,9,10,151,363
4021,Kippa Ring,Qld,4021Kippa Ring,Brisbane,41.2 km,41 mins,41,,,,,,,,,36,36
4022,Rothwell,Qld,4022Rothwell,Brisbane,34.2 km,39 mins,34,7,8,4,8,8,9,9,9,25,36
4025,Bulwer,Qld,4025Bulwer,Brisbane,undefined,undefined,,7,,7,8,8,9,5,9,24,38
4025,Cape Moreton,Qld,4025Cape Moreton,Brisbane,undefined,undefined,,7,,7,8,8,9,5,9,24,38
4025,Cowan Cowan,Qld,4025Cowan Cowan,Brisbane,undefined,undefined,,7,,7,8,8,9,5,9,24,38
4025,Kooringal,Qld,4025Kooringal,Brisbane,undefined,undefined,,7,,7,8,8,9,5,9,24,38
4025,Moreton Island,Qld,4025Moreton Island,Brisbane,undefined,undefined,,,,,,,,,,24,38
4025,Tangalooma,Qld,4025Tangalooma,Brisbane,undefined,undefined,,7,,7,8,8,9,5,9,24,38
4029,Royal Brisbane Hospital,Qld,4029Royal Brisbane Hospital,Brisbane,5.1 km,10 mins,5,,,,,,,,,0,0
4030,Eildon Hill,Qld,4030Eildon Hill,Brisbane,8.3 km,13 mins,8,,,,,,,,,74,72
4030,Kalinga,Qld,4030Kalinga,Brisbane,8.3 km,13 mins,8,,,,,,,,,74,72
4030,Lutwyche,Qld,4030Lutwyche,Brisbane,8.3 km,13 mins,8,7,9,9,9,9,8,9,9,74,72
4030,Windsor,Qld,4030Windsor,Brisbane,8.3 km,13 mins,8,8,9,10,9,9,9,9,9,74,72
4030,Wooloowin,Qld,4030Wooloowin,Brisbane,8.3 km,13 mins,8,7,9,10,9,9,9,9,9,74,72
4031,Glen Kedron,Qld,4031Glen Kedron,Brisbane,10.4 km,13 mins,10,,,,,,,,,64,58
4031,Gordon Park,Qld,4031Gordon Park,Brisbane,10.4 km,13 mins,10,7,9,10,9,9,9,9,9,64,58
4031,Kedron,Qld,4031Kedron,Brisbane,10.4 km,13 mins,10,7,9,9,9,9,9,9,9,64,58
4032,Chermside,Qld,4032Chermside,Brisbane,14.3 km,21 mins,14,7,8,7,8,9,8,9,9,65,93
4032,Chermside Bc,Qld,4032Chermside Bc,Brisbane,14.3 km,21 mins,14,6,6,4,7,7,8,9,9,65,93
4032,Chermside Centre,Qld,4032Chermside Centre,Brisbane,14.3 km,21 mins,14,7,9,8,9,9,9,9,9,65,93
4032,Chermside South,Qld,4032Chermside South,Brisbane,14.3 km,21 mins,14,7,8,5,8,9,8,9,9,65,93
4032,Chermside West,Qld,4032Chermside West,Brisbane,14.3 km,21 mins,14,7,9,8,8,8,9,9,9,65,93
4032,Craigslea,Qld,4032Craigslea,Brisbane,14.3 km,21 mins,14,,,,,,,,,65,93
4034,Aspley,Qld,4034Aspley,Brisbane,16.6 km,24 mins,17,7,9,8,9,8,9,9,10,171,226
4034,Boondall,Qld,4034Boondall,Brisbane,16.6 km,24 mins,17,7,9,6,8,8,9,9,9,171,226
4034,Carseldine,Qld,4034Carseldine,Brisbane,16.6 km,24 mins,17,7,9,8,8,8,9,9,9,171,226
4034,Geebung,Qld,4034Geebung,Brisbane,16.6 km,24 mins,17,7,9,7,8,9,9,9,9,171,226
4034,Zillmere,Qld,4034Zillmere,Brisbane,16.6 km,24 mins,17,7,8,5,8,9,8,9,9,171,226
4035,Albany Creek,Qld,4035Albany Creek,Brisbane,16.2 km,27 mins,16,7,9,9,8,8,9,9,10,97,228
4035,Bridgeman Downs,Qld,4035Bridgeman Downs,Brisbane,16.2 km,27 mins,16,7,9,8,9,8,9,9,10,97,228
4035,Cashs Crossing,Qld,4035Cashs Crossing,Brisbane,16.2 km,27 mins,16,,,,,,,,,97,228
4036,Bald Hills,Qld,4036Bald Hills,Brisbane,21.7 km,30 mins,22,7,9,6,8,8,9,9,9,36,47
4037,Eatons Hill,Qld,4037Eatons Hill,Brisbane,23.1 km,35 mins,23,7,9,9,8,8,9,9,10,29,43
4051,Alderley,Qld,4051Alderley,Brisbane,6.7 km,13 mins,7,7,9,10,9,9,9,9,9,97,128
4051,Enoggera,Qld,4051Enoggera,Brisbane,6.7 km,13 mins,7,7,9,9,8,9,9,9,9,97,128
4051,Gaythorne,Qld,4051Gaythorne,Brisbane,6.7 km,13 mins,7,7,8,9,9,9,9,9,9,97,128
4051,Grange,Qld,4051Grange,Brisbane,6.7 km,13 mins,7,7,10,10,9,9,9,9,10,97,128
4051,Newmarket,Qld,4051Newmarket,Brisbane,6.7 km,13 mins,7,8,10,10,9,9,8,9,9,97,128
4051,The Grange,Qld,4051The Grange,Brisbane,6.7 km,13 mins,7,,,,,,,,,97,128
4051,Wilston,Qld,4051Wilston,Brisbane,6.7 km,13 mins,7,8,10,10,9,9,9,9,9,97,128
4053,Brookside Centre,Qld,4053Brookside Centre,Brisbane,10.4 km,19 mins,10,7,9,9,9,9,9,9,9,204,310
4053,Everton Hills,Qld,4053Everton Hills,Brisbane,10.4 km,19 mins,10,7,9,8,9,9,9,9,10,204,310
4053,Everton Park,Qld,4053Everton Park,Brisbane,10.4 km,19 mins,10,7,9,8,9,9,9,9,9,204,310
4053,Mcdowall,Qld,4053Mcdowall,Brisbane,10.4 km,19 mins,10,7,10,9,9,8,9,9,10,204,310
4053,Mitchelton,Qld,4053Mitchelton,Brisbane,10.4 km,19 mins,10,7,9,9,9,9,9,9,9,204,310
4053,Oxford Park,Qld,4053Oxford Park,Brisbane,10.4 km,19 mins,10,,,,,,,,,204,310
4053,Somerset Hills,Qld,4053Somerset Hills,Brisbane,10.4 km,19 mins,10,,,,,,,,,204,310
4053,Stafford,Qld,4053Stafford,Brisbane,10.4 km,19 mins,10,7,8,8,9,9,9,9,9,204,310
4053,Stafford Bc,Qld,4053Stafford Bc,Brisbane,10.4 km,19 mins,10,,,,,,,,,204,310
4053,Stafford City,Qld,4053Stafford City,Brisbane,10.4 km,19 mins,10,,,,,,,,,204,310
4053,Stafford Dc,Qld,4053Stafford Dc,Brisbane,10.4 km,19 mins,10,,,,,,,,,204,310
4053,Stafford Heights,Qld,4053Stafford Heights,Brisbane,10.4 km,19 mins,10,7,8,8,8,9,9,9,9,204,310
4054,Arana Hills,Qld,4054Arana Hills,Brisbane,11.8 km,22 mins,12,7,9,9,9,8,9,9,10,38,56
4054,Grovely,Qld,4054Grovely,Brisbane,11.8 km,22 mins,12,,,,,,,,,38,56
4054,Keperra,Qld,4054Keperra,Brisbane,11.8 km,22 mins,12,7,8,6,9,9,9,9,9,38,56
4055,Bunya,Qld,4055Bunya,Brisbane,16.1 km,27 mins,16,7,10,9,8,7,10,9,10,78,207
4055,Ferny Grove,Qld,4055Ferny Grove,Brisbane,16.1 km,27 mins,16,7,9,8,8,8,9,9,10,78,207
4055,Ferny Hills,Qld,4055Ferny Hills,Brisbane,16.1 km,27 mins,16,7,9,9,8,8,9,9,10,78,207
4055,Ferny Hills Dc,Qld,4055Ferny Hills Dc,Brisbane,16.1 km,27 mins,16,,,,,,,,,78,207
4055,Kedron Upper,Qld,4055Kedron Upper,Brisbane,16.1 km,27 mins,16,,,,,,,,,78,207
4055,Upper Kedron,Qld,4055Upper Kedron,Brisbane,16.1 km,27 mins,16,7,9,9,8,8,9,9,10,78,207
4059,Ballymore,Qld,4059Ballymore,Brisbane,3.5 km,8 mins,4,,,,,,,,,63,70
4059,Ithaca,Qld,4059Ithaca,Brisbane,3.5 km,8 mins,4,,,,,,,,,63,70
4059,Kelvin Grove,Qld,4059Kelvin Grove,Brisbane,3.5 km,8 mins,4,9,9,10,9,9,8,9,9,63,70
4059,Kelvin Grove Bc,Qld,4059Kelvin Grove Bc,Brisbane,3.5 km,8 mins,4,,,,,,,,,63,70
4059,Kelvin Grove Dc,Qld,4059Kelvin Grove Dc,Brisbane,3.5 km,8 mins,4,,,,,,,,,63,70
4059,Normanby,Qld,4059Normanby,Brisbane,3.5 km,8 mins,4,,,,,,,,,63,70
4059,Red Hill,Qld,4059Red Hill,Brisbane,3.5 km,8 mins,4,8,9,10,9,9,9,9,9,63,70
4060,Ashgrove,Qld,4060Ashgrove,Brisbane,6.6 km,12 mins,7,7,10,10,9,9,9,9,10,55,73
4060,Ashgrove East,Qld,4060Ashgrove East,Toowoomba,undefined,undefined,,,,,,,,,,55,73
4060,Ashgrove West,Qld,4060Ashgrove West,Brisbane,6.6 km,12 mins,7,7,10,10,9,9,9,9,10,55,73
4060,Dorrington,Qld,4060Dorrington,Brisbane,6.6 km,12 mins,7,,,,,,,,,55,73
4060,St Johns Wood,Qld,4060St Johns Wood,Brisbane,6.6 km,12 mins,7,,,,,,,,,55,73
4061,The Gap,Qld,4061The Gap,Brisbane,11.5 km,20 mins,12,7,10,10,8,8,10,9,10,53,91
4064,Baroona,Qld,4064Baroona,Brisbane,3.7 km,10 mins,4,,,,,,,,,71,66
4064,Milton,Qld,4064Milton,Brisbane,3.7 km,10 mins,4,9,9,10,9,9,8,9,9,71,66
4064,Milton Bc,Qld,4064Milton Bc,Brisbane,3.7 km,10 mins,4,6,6,4,7,7,8,9,9,71,66
4064,Paddington,Qld,4064Paddington,Brisbane,3.7 km,10 mins,4,8,9,10,9,9,8,9,9,71,66
4064,Rosalie,Qld,4064Rosalie,Brisbane,3.7 km,10 mins,4,,,,,,,,,71,66
4065,Bardon,Qld,4065Bardon,Brisbane,6.4 km,15 mins,6,7,10,10,9,9,9,9,10,56,69
4065,Bardon West,Qld,4065Bardon West,Brisbane,6.4 km,15 mins,6,,,,,,,,,56,69
4065,Jubilee,Qld,4065Jubilee,Brisbane,6.4 km,15 mins,6,,,,,,,,,56,69
4065,Rainworth,Qld,4065Rainworth,Brisbane,6.4 km,15 mins,6,,,,,,,,,56,69
4066,Auchenflower,Qld,4066Auchenflower,Brisbane,7.9 km,15 mins,8,8,9,10,9,9,8,9,9,55,75
4066,Mount Coot Tha,Qld,4066Mount Coot Tha,Brisbane,7.9 km,15 mins,8,,,7,,,,6,,55,75
4066,Stuartholme,Qld,4066Stuartholme,Brisbane,7.9 km,15 mins,8,,,,,,,,,55,75
4066,Toowong,Qld,4066Toowong,Brisbane,7.9 km,15 mins,8,8,9,10,9,9,8,9,9,55,75
4066,Toowong Bc,Qld,4066Toowong Bc,Brisbane,7.9 km,15 mins,8,,,,,,,,,55,75
4066,Toowong Dc,Qld,4066Toowong Dc,Brisbane,7.9 km,15 mins,8,,,,,,,,,55,75
4066,Torwood,Qld,4066Torwood,Brisbane,7.9 km,15 mins,8,,,,,,,,,55,75
4067,Ironside,Qld,4067Ironside,Brisbane,7.2 km,14 mins,7,,,,,,,,,23,33
4067,St Lucia,Qld,4067St Lucia,Brisbane,7.2 km,14 mins,7,8,9,10,8,9,8,9,8,23,33
4067,St Lucia South,Qld,4067St Lucia South,Brisbane,7.2 km,14 mins,7,,,,,,,,,23,33
4068,Chelmer,Qld,4068Chelmer,Brisbane,8.3 km,16 mins,8,7,10,10,8,8,9,9,10,81,114
4068,Indooroopilly,Qld,4068Indooroopilly,Brisbane,8.3 km,16 mins,8,7,10,10,8,9,8,9,9,81,114
4068,Indooroopilly Centre,Qld,4068Indooroopilly Centre,Brisbane,8.3 km,16 mins,8,7,10,10,8,9,8,9,9,81,114
4068,Long Pocket,Qld,4068Long Pocket,Brisbane,8.3 km,16 mins,8,6,7,4,8,6,9,4,9,81,114
4068,Taringa,Qld,4068Taringa,Brisbane,8.3 km,16 mins,8,7,9,10,9,9,8,9,9,81,114
4069,Brookfield,Qld,4069Brookfield,Brisbane,17.3 km,29 mins,17,7,10,10,8,7,10,5,10,169,263
4069,Chapel Hill,Qld,4069Chapel Hill,Brisbane,17.3 km,29 mins,17,,,7,,,,6,,169,263
4069,Fig Tree Pocket,Qld,4069Fig Tree Pocket,Brisbane,17.3 km,29 mins,17,,,,,,,,,169,263
4069,Kenmore,Qld,4069Kenmore,Brisbane,17.3 km,29 mins,17,7,10,10,8,8,9,9,10,169,263
4069,Kenmore Dc,Qld,4069Kenmore Dc,Brisbane,17.3 km,29 mins,17,,,,,,,,,169,263
4069,Kenmore East,Qld,4069Kenmore East,Brisbane,17.3 km,29 mins,17,7,10,9,8,8,9,9,10,169,263
4069,Kenmore Hills,Qld,4069Kenmore Hills,Brisbane,17.3 km,29 mins,17,7,10,10,8,8,10,9,10,169,263
4069,Lone Pine,Qld,4069Lone Pine,Brisbane,17.3 km,29 mins,17,,,,,,,,,169,263
4069,Pinjarra Hills,Qld,4069Pinjarra Hills,Brisbane,17.3 km,29 mins,17,7,10,9,8,7,10,5,10,169,263
4069,Pullenvale,Qld,4069Pullenvale,Brisbane,17.3 km,29 mins,17,7,10,10,8,7,10,6,10,169,263
4069,Upper Brookfield,Qld,4069Upper Brookfield,Brisbane,17.3 km,29 mins,17,7,10,10,8,8,10,9,10,169,263
4070,Anstead,Qld,4070Anstead,Brisbane,22.8 km,33 mins,23,7,10,10,8,7,10,9,10,70,90
4070,Bellbowrie,Qld,4070Bellbowrie,Brisbane,22.8 km,33 mins,23,7,9,9,8,8,10,9,10,70,90
4070,Moggill,Qld,4070Moggill,Brisbane,22.8 km,33 mins,23,7,10,10,8,8,10,8,10,70,90
4070,Priors Pocket,Qld,4070Priors Pocket,Brisbane,22.8 km,33 mins,23,,,,,,,,,70,90
4072,University Of Queensland,Qld,4072University Of Queensland,Toowoomba,44.0 km,36 mins,44,,,,,,,,,0,0
4073,Seventeen Mile Rocks,Qld,4073Seventeen Mile Rocks,Brisbane,17.6 km,23 mins,18,,,,,,,,,41,48
4073,Sinnamon Park,Qld,4073Sinnamon Park,Brisbane,17.6 km,23 mins,18,7,10,10,8,8,9,9,10,41,48
4074,Jamboree Heights,Qld,4074Jamboree Heights,Brisbane,18.2 km,25 mins,18,7,9,9,9,8,9,9,9,113,135
4074,Jindalee,Qld,4074Jindalee,Brisbane,18.2 km,25 mins,18,7,9,9,8,8,9,9,9,113,135
4074,Middle Park,Qld,4074Middle Park,Brisbane,18.2 km,25 mins,18,7,9,9,8,8,9,9,10,113,135
4074,Mount Ommaney,Qld,4074Mount Ommaney,Brisbane,18.2 km,25 mins,18,7,10,10,8,8,10,9,10,113,135
4074,Riverhills,Qld,4074Riverhills,Brisbane,18.2 km,25 mins,18,7,9,8,9,8,9,9,10,113,135
4074,Sumner,Qld,4074Sumner,Brisbane,18.2 km,25 mins,18,7,8,7,8,8,8,9,9,113,135
4074,Sumner Park Bc,Qld,4074Sumner Park Bc,Brisbane,18.2 km,25 mins,18,,,,,,,,,113,135
4074,Westlake,Qld,4074Westlake,Brisbane,18.2 km,25 mins,18,7,9,10,8,8,10,9,10,113,135
4075,Corinda,Qld,4075Corinda,Brisbane,16.5 km,22 mins,17,7,10,9,9,9,9,9,9,122,168
4075,Graceville,Qld,4075Graceville,Brisbane,16.5 km,22 mins,17,7,10,10,9,9,9,9,10,122,168
4075,Graceville East,Qld,4075Graceville East,Brisbane,16.5 km,22 mins,17,7,10,10,9,9,9,9,10,122,168
4075,Oxley,Qld,4075Oxley,Brisbane,16.5 km,22 mins,17,7,8,8,8,9,9,9,9,122,168
4075,Sherwood,Qld,4075Sherwood,Brisbane,16.5 km,22 mins,17,7,10,10,9,9,9,9,10,122,168
4076,Darra,Qld,4076Darra,Brisbane,21.2 km,24 mins,21,6,8,4,8,8,8,9,9,40,29
4076,Wacol,Qld,4076Wacol,Brisbane,21.2 km,24 mins,21,7,7,5,8,8,8,9,9,40,29
4076,Wacol East Immigration Centre,Qld,4076Wacol East Immigration Centre,Brisbane,21.2 km,24 mins,21,,,,,,,,,40,29
4077,Doolandella,Qld,4077Doolandella,Brisbane,20.6 km,27 mins,21,6,7,4,8,8,9,9,9,89,243
4077,Durack,Qld,4077Durack,Brisbane,20.6 km,27 mins,21,7,7,3,8,8,9,9,9,89,243
4077,Inala,Qld,4077Inala,Brisbane,20.6 km,27 mins,21,6,7,1,8,8,8,9,9,89,243
4077,Inala East,Qld,4077Inala East,Brisbane,20.6 km,27 mins,21,6,7,1,8,8,8,9,9,89,243
4077,Inala Heights,Qld,4077Inala Heights,Brisbane,20.6 km,27 mins,21,6,7,4,7,8,9,9,9,89,243
4077,Inala West,Qld,4077Inala West,Brisbane,20.6 km,27 mins,21,,,,,,,,,89,243
4077,Richlands,Qld,4077Richlands,Brisbane,20.6 km,27 mins,21,6,7,4,8,8,8,9,9,89,243
4077,Richlands Bc,Qld,4077Richlands Bc,Brisbane,20.6 km,27 mins,21,,,,,,,,,89,243
4077,Richlands Dc,Qld,4077Richlands Dc,Brisbane,20.6 km,27 mins,21,,,,,,,,,89,243
4077,Serviceton,Qld,4077Serviceton,Brisbane,20.6 km,27 mins,21,,,,,,,,,89,243
4078,Ellen Grove,Qld,4078Ellen Grove,Brisbane,24.0 km,28 mins,24,6,7,1,7,8,8,9,8,127,198
4078,Forest Lake,Qld,4078Forest Lake,Brisbane,24.0 km,28 mins,24,7,8,7,8,8,9,9,9,127,198
4101,Highgate Hill,Qld,4101Highgate Hill,Brisbane,5.2 km,11 mins,5,9,9,9,9,9,8,9,9,68,68
4101,Mater Hill,Qld,4101Mater Hill,Brisbane,5.2 km,11 mins,5,,,,,,,,,68,68
4101,Mater Hospital,Qld,4101Mater Hospital,Brisbane,5.2 km,11 mins,5,,,,,,,,,68,68
4101,South Bank,Qld,4101South Bank,Brisbane,5.2 km,11 mins,5,,,,,,,,,68,68
4101,South Brisbane,Qld,4101South Brisbane,Brisbane,5.2 km,11 mins,5,9,9,9,9,9,8,5,9,68,68
4101,South Brisbane Bc,Qld,4101South Brisbane Bc,Brisbane,5.2 km,11 mins,5,,,,,,,,,68,68
4101,West End,Qld,4101West End,Brisbane,5.2 km,11 mins,5,9,9,10,9,9,8,9,9,68,68
4102,Buranda,Qld,4102Buranda,Brisbane,3.6 km,8 mins,4,8,9,9,9,9,8,9,9,26,33
